n,rep,score_bf,score_h,approx_ratio,exact_match
18,24,-0.8573184765687354,-0.8573184765687354,1.0,1
18,25,-0.8075090565127905,-0.8075090565127905,1.0,1
18,26,-0.6610279441731453,-0.6610279441731454,1.0,1
18,27,-0.6369631175426551,-0.6369631175426551,1.0,1
18,28,-0.7303880409985597,-0.7303880409985597,1.0,1
18,29,-0.8641126213002218,-0.8641126213002218,1.0,1
18,30,-0.8444764813193055,-0.8444764813193056,1.0,1
18,31,-0.8234394273609779,-0.8234394273609779,1.0,1
18,32,-0.7655583732814599,-0.7655583732814599,1.0,1
18,33,-0.9146596147260656,-0.9146596147260656,1.0,1
18,34,-0.9222589792001529,-0.9035302225958952,0.9796925191007622,0
18,35,-0.7272507213894303,-0.7198200028027635,0.9897824527798745,0
18,36,-0.8770441158886154,-0.8770441158886155,1.0,1
18,37,-0.8903728273194593,-0.8831946265212749,0.9919379830808684,0
18,38,-0.8151645719532008,-0.815164571953201,1.0,1
18,39,-0.876845717081157,-0.8768457170811572,1.0,1
18,40,-0.8041270486800485,-0.7812104390368986,0.9715012575677353,0
18,41,-0.8644727713643463,-0.8644727713643463,1.0,1
18,42,-0.8700151178632821,-0.8689858412111985,0.9988169439462024,0
18,43,-0.8560339582851967,-0.8560339582851966,0.9999999999999999,1
18,44,-0.8556979535009243,-0.8556979535009243,1.0,1
18,45,-0.8689543826108017,-0.8689543826108017,1.0,1
18,46,-0.7607009944744227,-0.7356250349642434,0.9670357214039077,0
18,47,-0.7409148556323137,-0.7409148556323139,1.0,1
18,48,-0.8501175456622097,-0.8501175456622099,1.0,1
18,49,-0.8549736357793527,-0.8549736357793529,1.0,1
18,50,-0.8248383525058687,-0.8248383525058685,0.9999999999999998,1
18,51,-0.8741251451612615,-0.8741251451612614,0.9999999999999999,1
18,52,-0.7189848129219499,-0.7189848129219499,1.0,1
18,53,-0.6992757238650474,-0.6992757238650473,0.9999999999999999,1
18,54,-0.8591426538181336,-0.8591426538181336,1.0,1
18,55,-0.8085151256035122,-0.8085151256035122,1.0,1
18,56,-0.8836974030612517,-0.8836974030612516,0.9999999999999999,1
18,57,-0.8583702584468949,-0.8583702584468949,1.0,1
18,58,-0.900187781109826,-0.8981475486768059,0.9977335479598437,0
18,59,-0.589272912220315,-0.541500238618477,0.9189294593199,0
18,60,-0.8378120126141968,-0.8357952197336981,0.9975927859112382,0
18,61,-0.5170780863755989,-0.5170780863755989,1.0,1
18,62,-0.6646313246770855,-0.6646313246770856,1.0,1
18,63,-0.7737648955223394,-0.7737648955223394,1.0,1
18,64,-0.9181669759171841,-0.9181669759171843,1.0,1
18,65,-0.8524059809457765,-0.8524059809457764,0.9999999999999999,1
18,66,-0.774215895172094,-0.7742158951720938,0.9999999999999997,1
18,67,-0.8499348513137027,-0.8499348513137025,0.9999999999999998,1
